"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour"
"32",16,"-","BGCv11","BG","BG","BGxw","BGxw1","Nicola Very Dry Warm BG","Bunchgrass","Very Dry Warm","Nicola","","","BC","BC","",""
"33",17,"+","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC","","#D71515FF"
"34",17,"-","BGCv11","BG","BG","BGxw","BGxw2","Alkali Very Dry Warm BG","Bunchgrass","Very Dry Warm","Alkali","","","BC","BC","",""
"35",18,"+","USA_2019","BG","BG","BGxx","BGxx_WY","Very Dry Very Hot Wyoming BG","Bunchgrass","Very Dry Very Hot","Wyoming","SW Wyoming","","USA","WY","","#DF325EFF"
"36",18,"-","USA_2019","BG","BG","BGxx","BGxx_WY","Very Dry Very Hot Wyoming BG","Bunchgrass","Very Dry Very Hot","Wyoming","SW Wyoming","","USA","WY","",""
"37",19,"+","USA_2026","BG","BG","BGxxx","BGxxx_WY","Very Very Dry Very Hot Wyoming BG","Bunchgrass","Very Very Dry Very Hot","WY","C & NC Wyoming","","USA","WY","","#954419FF"
"38",19,"-","USA_2026","BG","BG","BGxxx","BGxxx_WY","Very Very Dry Very Hot Wyoming BG","Bunchgrass","Very Very Dry Very Hot","WY","C & NC Wyoming","","USA","WY","",""
"39",20,"+","AB_2018","BSJP","BSJP","BSJPap","BSJPap","Athabasca Plain BSJP","Boreal Spruce and Jack Pine","Athabasca Plain","","NE Alberta","BWSPap","AB","AB","","#4040D6FF"
"40",20,"-","AB_2018","BSJP","BSJP","BSJPap","BSJPap","Athabasca Plain BSJP","Boreal Spruce and Jack Pine","Athabasca Plain","","NE Alberta","BWSPap","AB","AB","",""
"41",21,"+","AB_2018","BSJP","BSJP","BSJPku","BSJPku","Kazan Upland BSJP","Boreal Spruce and Jack Pine","Kazan Upland","","NE Alberta","SAWSku","AB","AB","","#6E7ACAFF"
"42",21,"-","AB_2018","BSJP","BSJP","BSJPku","BSJPku","Kazan Upland BSJP","Boreal Spruce and Jack Pine","Kazan Upland","","NE Alberta","SAWSku","AB","AB","",""
"43",22,"+","AB_2018","BSJP","BSJP","BSJPpa","BSJPpa","Peace - Athabasca Delta BSJP","Boreal Spruce and Jack Pine","Peace - Athabasca Delta","","NE Alberta","BWSPpa","AB","AB","","#3449E8FF"
"44",22,"-","AB_2018","BSJP","BSJP","BSJPpa","BSJPpa","Peace - Athabasca Delta BSJP","Boreal Spruce and Jack Pine","Peace - Athabasca Delta","","NE Alberta","BWSPpa","AB","AB","",""
"45",23,"+","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmC","Central Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Central","N Alberta","BWSPcm","AB","AB","","#487FB7FF"
"46",23,"-","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmC","Central Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Central","N Alberta","BWSPcm","AB","AB","",""
"47",24,"+","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmE","Eastern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Eastern","N Alberta","BWSPcm","AB","AB","","#4797E7FF"
"48",24,"-","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmE","Eastern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Eastern","N Alberta","BWSPcm","AB","AB","",""
"49",25,"+","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmNW","Northwestern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Northwestern","N Alberta","BWSPcm","AB","AB","","#71B5E8FF"
"50",25,"-","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmNW","Northwestern Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Northwestern","N Alberta","BWSPcm","AB","AB","",""
"51",26,"+","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmW","Western Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Western","N Alberta","BWSPcm","AB","AB","","#1774FFFF"
"52",26,"-","AB_2020","BWBS","BWBS_meso","BWBScm","BWBScmW","Western Mixedwood BWBS","Boreal White and Black Spruce","Mixedwood","Western","N Alberta","BWSPcm","AB","AB","",""
"53",27,"+","BGCv11","BWBS","BWBS_meso","BWBSdk","BWBSdk","Dry Cool BWBS","Boreal White and Black Spruce","Dry Cool","","","","BC","BC","","#7687E3FF"
"54",27,"-","BGCv11","BWBS","BWBS_meso","BWBSdk","BWBSdk","Dry Cool BWBS","Boreal White and Black Spruce","Dry Cool","","","","BC","BC","",""
"55",28,"+","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmN","Northern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Northern","NW Alberta","BWSPdm","AB","AB","","#5A7E99FF"
"56",28,"-","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmN","Northern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Northern","NW Alberta","BWSPdm","AB","AB","",""
"57",29,"+","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmS","Southern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Southern","NW Alberta","BWSPdm","AB","AB","","#A6C8F3FF"
"58",29,"-","AB_2020","BWBS","BWBS_meso","BWBSdm","BWBSdmS","Southern Dry Mixedwood BWBS","Boreal White and Black Spruce","Dry Mixedwood","Southern","NW Alberta","BWSPdm","AB","AB","",""
"59",30,"+","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","WC Alberta","BWSPlb","AB","AB","","#516EB5FF"
"60",30,"-","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbE","Eastern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Eastern","WC Alberta","BWSPlb","AB","AB","",""
"61",31,"+","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbN","Northern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Northern","","BWBSlb","AB","AB","","#4F7ACFFF"
"62",31,"-","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbN","Northern Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Northern","","BWBSlb","AB","AB","",""
"63",32,"+","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","WC Alberta","BWSPlb","AB","AB","","#2D5391FF"
"64",32,"-","AB_2020","BWBS","BWBS_cold","BWBSlb","BWBSlbW","Western Lower Boreal Highlands BWBS","Boreal White and Black Spruce","Lower Boreal Highlands","Western","WC Alberta","BWSPlb","AB","AB","",""
"65",33,"+","AB_2018","BWBS","BWBS_warm","BWBSlf","BWBSlf","Lower Foothills BWBS","Boreal White and Black Spruce","Lower Foothills","","WC Alberta","SBPAlf","AB","AB","","#253CECFF"
"66",33,"-","AB_2018","BWBS","BWBS_warm","BWBSlf","BWBSlf","Lower Foothills BWBS","Boreal White and Black Spruce","Lower Foothills","","WC Alberta","SBPAlf","AB","AB","",""
"67",34,"+","BGCv11","BWBS","BWBS_meso","BWBSmk","BWBSmk","Moist Cool BWBS","Boreal White and Black Spruce","Moist Cool","","","","BC","BC","","#1633F0FF"
"68",34,"-","BGCv11","BWBS","BWBS_meso","BWBSmk","BWBSmk","Moist Cool BWBS","Boreal White and Black Spruce","Moist Cool","","","","BC","BC","",""
"69",35,"+","BGCv11","BWBS","BWBS_warm","BWBSmw","BWBSmw","Moist Warm BWBS","Boreal White and Black Spruce","Moist Warm","","","","BC","BC","","#1645F0FF"
"70",35,"-","BGCv11","BWBS","BWBS_warm","BWBSmw","BWBSmw","Moist Warm BWBS","Boreal White and Black Spruce","Moist Warm","","","","BC","BC","",""
"71",36,"+","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","N Alberta","BWSPnm","AB","AB","","#485CC9FF"
"72",36,"-","AB_2018","BWBS","BWBS_meso","BWBSnm","BWBSnm","Northern Mixedwood BWBS","Boreal White and Black Spruce","Northern Mixedwood","","N Alberta","BWSPnm","AB","AB","",""
"73",37,"+","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","WC Alberta","BWSPpp","AB","AB","","#444EDBFF"
"74",37,"-","AB_2018","BWBS","BWBS_warm","BWBSpp","BWBSpp","Peace River Parkland BWBS","Boreal White and Black Spruce","Peace River Parkland","","WC Alberta","BWSPpp","AB","AB","",""
"75",38,"+","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","WC Alberta","BWSPup","AB","AB","","#5469F0FF"
"76",38,"-","AB_2018","BWBS","BWBS_cold","BWBSub","BWBSub","Upper Boreal Highlands BWBS","Boreal White and Black Spruce","Upper Boreal Highlands","","WC Alberta","BWSPup","AB","AB","",""
"77",39,"+","AB_2018","BWBS","BWBS_warm","BWBSuf","BWBSuf","Upper Foothills BWBS","Boreal White and Black Spruce","Upper Foothills","","WC Alberta","SBPAuf","AB","AB","","#5A5CDFFF"
"78",39,"-","AB_2018","BWBS","BWBS_warm","BWBSuf","BWBSuf","Upper Foothills BWBS","Boreal White and Black Spruce","Upper Foothills","","WC Alberta","SBPAuf","AB","AB","",""
"79",40,"+","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC","","#2C3BE0FF"
"80",40,"-","BGCv11","BWBS","BWBS_cold","BWBSvk","BWBSvk","Very Wet Cool BWBS","Boreal White and Black Spruce","Very Wet Cool","","","","BC","BC","",""
"81",41,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk1","Murray Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Murray","","","BC","BC","","#7A88E2FF"
"82",41,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk1","Murray Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Murray","","","BC","BC","",""
"83",42,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk2","Graham Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Graham","","","BC","BC","","#5B69C9FF"
"84",42,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk2","Graham Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Graham","","","BC","BC","",""
"85",43,"+","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk3","Kledo Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Kledo","","","BC","BC","","#5F5DCCFF"
"86",43,"-","BGCv11","BWBS","BWBS_cold","BWBSwk","BWBSwk3","Kledo Wet Cool BWBS","Boreal White and Black Spruce","Wet Cool","Kledo","","","BC","BC","",""
"87",44,"+","USA_2019","CCH","CCH","CCHun","CCHun_CA","California CCH","California Chaparral ","","California","WC & SW California ","CCH un","USA","CA","","#754862FF"
"88",44,"-","USA_2019","CCH","CCH","CCHun","CCHun_CA","California CCH","California Chaparral ","","California","WC & SW California ","CCH un","USA","CA","",""
"89",45,"+","BGCv11","CDF","CDF","CDFmm","CDFmm","Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","","","","BC","BC","","#FAEA05FF"
"90",45,"-","BGCv11","CDF","CDF","CDFmm","CDFmm","Moist Maritime CDF","Coastal Douglas-fir","Moist Maritime","","","","BC","BC","",""
"91",46,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Moist Maritime Oregon CDF","Coastal Douglas-fir","Moist Maritime","Oregon","W Oregon","CDF dmz","USA","OR","","#E1E42BFF"
"92",46,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_OR","Moist Maritime Oregon CDF","Coastal Douglas-fir","Moist Maritime","Oregon","W Oregon","CDF dmz","USA","OR","",""
"93",47,"+","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Moist Maritime Washington CDF","Coastal Douglas-fir","Moist Maritime","Washington","NW Washington","CDF mmz","USA","WA","","#EBDE1BFF"
"94",47,"-","USA_2019","CDF","CDF","CDFmm","CDFmm_WA","Moist Maritime Washington CDF","Coastal Douglas-fir","Moist Maritime","Washington","NW Washington","CDF mmz","USA","WA","",""
"95",48,"+","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","Very Dry Maritime California CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon, N California","CDF xmz","USA","CA","","#FCFC1FFF"
"96",48,"-","USA_2019","CDF","CDF","CDFxm","CDFxm_CA","Very Dry Maritime California CDF","Coastal Douglas-fir","Very Dry Maritime","California","SW Oregon, N California","CDF xmz","USA","CA","",""
"97",49,"+","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC","","#E8E9F3FF"
"98",49,"-","BGCv11","CMA","CMA","CMAun","CMAun","Undifferentiated CMA","Coastal Mountain-heather Alpine","Undifferentiated","","","","BC","BC","",""
"99",50,"+","USA_2019","CMA","CMA","CMAun","CMAun_CA","California CMA","Coastal Mountain-heather Alpine","","California","EC California","CMA us","USA","CA","","#DEF2EAFF"
"100",50,"-","USA_2019","CMA","CMA","CMAun","CMAun_CA","California CMA","Coastal Mountain-heather Alpine","","California","EC California","CMA us","USA","CA","",""
"101",51,"+","USA_2019","CMA","CMA","CMAun","CMAun_OR","Oregon CMA","Coastal Mountain-heather Alpine","","Oregon","W Oregon","CMA us","USA","OR","","#CFDECFFF"
"102",51,"-","USA_2019","CMA","CMA","CMAun","CMAun_OR","Oregon CMA","Coastal Mountain-heather Alpine","","Oregon","W Oregon","CMA us","USA","OR","",""
"103",52,"+","USA_2019","CMA","CMA","CMAun","CMAun_WA","Washington CMA","Coastal Mountain-heather Alpine","","Washington","W Washington","CMA us","USA","WA","","#EAEADAFF"
"104",52,"-","USA_2019","CMA","CMA","CMAun","CMAun_WA","Washington CMA","Coastal Mountain-heather Alpine","","Washington","W Washington","CMA us","USA","WA","",""
"105",53,"+","BGCv11","CMA","CMA","CMAunp","CMAunp","Undifferentiated and Parkland CMA","Coastal Mountain-heather Alpine","Undifferentiated and Parkland","","","","BC","BC","","#E4F3EAFF"
"106",53,"-","BGCv11","CMA","CMA","CMAunp","CMAunp","Undifferentiated and Parkland CMA","Coastal Mountain-heather Alpine","Undifferentiated and Parkland","","","","BC","BC","",""
"107",54,"+","BGCv11","CMA","CMA","CMAwh","CMAwh","Wet Hypermaritime CMA","Coastal Mountain-heather Alpine","Wet Hypermaritime","","","","BC","BC","","#F3E9EEFF"
"108",54,"-","BGCv11","CMA","CMA","CMAwh","CMAwh","Wet Hypermaritime CMA","Coastal Mountain-heather Alpine","Wet Hypermaritime","","","","BC","BC","",""
"109",55,"+","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Dry Maritime Oregon CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon, NW California","CMX dmz","USA","OR","","#CC87E9FF"
"110",55,"-","USA_2019","CMX","CMX","CMXdm","CMXdm_OR","Dry Maritime Oregon CMX","Coastal Mixed Evergreen","Dry Maritime","Oregon","SW Oregon, NW California","CMX dmz","USA","OR","",""
"111",56,"+","USA_2023","CMX","CMX","CMXmm","CMXmm_OR","Moist Maritime Oregon CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon, NW California","","USA","OR","","#88ABBEFF"
"112",56,"-","USA_2023","CMX","CMX","CMXmm","CMXmm_OR","Moist Maritime Oregon CMX","Coastal Mixed Evergreen","Moist Maritime","Oregon","SW Oregon, NW California","","USA","OR","",""
"113",57,"+","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Wet Maritime Oregon CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon, NW California","CMX wmz","USA","OR","","#DCA3DAFF"
"114",57,"-","USA_2019","CMX","CMX","CMXwm","CMXwm_OR","Wet Maritime Oregon CMX","Coastal Mixed Evergreen","Wet Maritime","Oregon","SW Oregon, NW California","CMX wmz","USA","OR","",""
"115",58,"+","USA_2019","CMX","CMX","CMXxm","CMXxm_CA","Very Dry Maritime California CMX","Coastal Mixed Evergreen","Very Dry Maritime","California","C & N California","CMX dmy","USA","CA","","#BB8FD6FF"
"116",58,"-","USA_2019","CMX","CMX","CMXxm","CMXxm_CA","Very Dry Maritime California CMX","Coastal Mixed Evergreen","Very Dry Maritime","California","C & N California","CMX dmy","USA","CA","",""
"117",59,"+","USA_2019","CRF","CRF","CRFdh","CRFdh_CA","Dry Hypermaritime California CRF","Coastal Redwood Forest","Dry Hypermaritime","California","N & C California","CRF dhz","USA","CA","","#891A14FF"
"118",59,"-","USA_2019","CRF","CRF","CRFdh","CRFdh_CA","Dry Hypermaritime California CRF","Coastal Redwood Forest","Dry Hypermaritime","California","N & C California","CRF dhz","USA","CA","",""
"119",60,"+","USA_2026","CRF","CRF","CRFmh","CRFmh_CA","Moist Hypermaritime California CRF","Coastal Redwood Forest","Moist Hypermaritime","CA","N California","","USA","CA","","#921d16ff"
"120",60,"-","USA_2026","CRF","CRF","CRFmh","CRFmh_CA","Moist Hypermaritime California CRF","Coastal Redwood Forest","Moist Hypermaritime","CA","N California","","USA","CA","",""
"121",61,"+","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","Central Valley Grassland ","Dry Mild","","C California","CVG un","USA","CA","","#EEB6A9FF"
"122",61,"-","USA_2019","CVG","CVG","CVGdm","CVGdm_CA","Dry Mild CVG","Central Valley Grassland ","Dry Mild","","C California","CVG un","USA","CA","",""
"123",62,"+","USA_2023","CWF","CWF","CWFdm","CWFdm_OR","Dry Maritime Oregon CWF","Coastal White Fir","Dry Maritime","","SW Oregon, NW & EC California","","USA","OR","","#A4B4F2FF"
"124",62,"-","USA_2023","CWF","CWF","CWFdm","CWFdm_OR","Dry Maritime Oregon CWF","Coastal White Fir","Dry Maritime","","SW Oregon, NW & EC California","","USA","OR","",""
"125",63,"+","USA_2019","CWF","CWF","CWFds","CWFds_CA","Dry Submaritime California CWF","Coastal White Fir","Dry Submaritime","California","EC California","CWF msz","USA","CA","","#3B73CEFF"
"126",63,"-","USA_2019","CWF","CWF","CWFds","CWFds_CA","Dry Submaritime California CWF","Coastal White Fir","Dry Submaritime","California","EC California","CWF msz","USA","CA","",""
"127",64,"+","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Moist Maritime Oregon CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon","CWF wsz","USA","OR","","#0D47ABFF"
"128",64,"-","USA_2019","CWF","CWF","CWFmm","CWFmm_OR","Moist Maritime Oregon CWF","Coastal White Fir","Moist Maritime","Oregon","SW Oregon","CWF wsz","USA","OR","",""
"129",65,"+","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Wet Maritime Oregon CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon, NW California","CWF wmz","USA","OR","","#2168CBFF"
"130",65,"-","USA_2019","CWF","CWF","CWFwm","CWFwm_OR","Wet Maritime Oregon CWF","Coastal White Fir","Wet Maritime","Oregon","SW Oregon, NW California","CWF wmz","USA","OR","",""
"131",66,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm1","Central Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Central","","","BC","BC","","#40D964FF"
"132",66,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm1","Central Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Central","","","BC","BC","",""
"133",67,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm2","Western Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Western","","","BC","BC","","#5DD991FF"
"134",67,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm2","Western Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Western","","","BC","BC","",""
"135",68,"+","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm3","Eastern Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Eastern","","","BC","BC","","#79D31FFF"
"136",68,"-","BGCv13","CWH","CWH_dry/continental","CWHdm","CWHdm3","Eastern Dry Maritime CWH","Coastal Western Hemlock","Dry Maritime","Eastern","","","BC","BC","",""
"137",69,"+","USA_2023","CWH","CWH_dry/continental","CWHdm","CWHdm_OC","Dry Maritime Oregon Coast CWH","Coastal Western Hemlock","Dry Maritime","Oregon Coast","Coastal Oregon","","USA","OR","","#36E55FFF"
"138",69,"-","USA_2023","CWH","CWH_dry/continental","CWHdm","CWHdm_OC","Dry Maritime Oregon Coast CWH","Coastal Western Hemlock","Dry Maritime","Oregon Coast","Coastal Oregon","","USA","OR","",""
"139",70,"+","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_OR","Dry Maritime Oregon CWH","Coastal Western Hemlock","Dry Maritime","Oregon","W Oregon","CWH dmx","USA","OR","","#7DD78CFF"
"140",70,"-","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_OR","Dry Maritime Oregon CWH","Coastal Western Hemlock","Dry Maritime","Oregon","W Oregon","CWH dmx","USA","OR","",""
"141",71,"+","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_WA","Dry Maritime Washington CWH","Coastal Western Hemlock","Dry Maritime","Washington","W Washington","CWH dmz","USA","WA","","#1BB926FF"
"142",71,"-","USA_2019","CWH","CWH_dry/continental","CWHdm","CWHdm_WA","Dry Maritime Washington CWH","Coastal Western Hemlock","Dry Maritime","Washington","W Washington","CWH dmz","USA","WA","",""
