"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"1367","CWHxs/101.2","FdcHw – Dull Oregon-grape – Falsebox; Rhododendron variation",NA,NA
"1368","CWHxs/102","Fdc – Kinnikinnick – Feather moss – Reindeer lichens",NA,NA
"1369","CWHxs/103","Fdc – Dull Oregon-grape – Feather moss",NA,NA
"1370","CWHxs/103.1","Fdc – Dull Oregon-grape – Feather moss; Typic variation",NA,NA
"1371","CWHxs/103.2","Fdc – Dull Oregon-grape – Feather moss; Rhododendron variation",NA,NA
"1372","CWHxs/110","CwFdc – Vine maple – Dull Oregon-grape",NA,NA
"1373","CWHxs/111","Hw – Queen's cup",NA,NA
"1374","CWHxs/112","CwFdc – Vine maple – Foamflower",NA,NA
"1375","CWHxs/113","CwHw – Vine maple – Dogwood","Fh","high fluvial bench"
"1376","CWHxs/Fl52","Sitka willow – Salmonberry – Horsetail","Fl","low fluvial bench"
"1377","CWHxs/Fm52","ActCw – Vine maple – Devil's club","Fm","mid fluvial bench"
"1378","CWHxs/Ro60","Wallace's selaginella – Long rock moss","Ro","rocky outcrop"
"1379","CWHxs/Ro60.2","Wallace's selaginella – Long rock moss; Parsley fern variation","Ro","rocky outcrop"
"1380","CWHxs/Ro61","Grey rock moss – Clad lichens","Ro","rocky outcrop"
"1381","CWHxs/Ro61.1","Grey rock moss – Clad lichens; Typic variation","Ro","rocky outcrop"
"1382","CWHxs/Ro61.2","Grey rock moss – Clad lichens; Parsley fern variation","Ro","rocky outcrop"
"1383","CWHxs/Wb55","Plc – Labrador tea – Peat mosses","Wb","wetland bog "
"1384","CWHxs/Wf51","Sitka sedge – Peat mosses","Wf","wetland fen"
"1385","CWHxs/Wf52","Sweet gale – Sitka sedge","Wf","wetland fen"
"1386","CWHxs/Ws56","SsHw – Skunk cabbage","Ws","wetland swamp"
"1387","CWHxs/Ws56.1","SsHw – Skunk cabbage; CwHw variation","Ws","wetland swamp"
"1388","ESSFdc1/101","BlSe – Rhododendron – Valerian",NA,NA
"1389","ESSFdc1/102","BlPl – Huckleberry",NA,NA
"1390","ESSFdc1/103","BlPl – Falsebox – Grouseberry",NA,NA
"1391","ESSFdc1/104","Bl – Rhododendron – Grouseberry",NA,NA
"1392","ESSFdc1/110","BlSe – Rhododendron – Hellebore",NA,NA
"1393","ESSFdc1/111","Bl – Valerian – Foamflower",NA,NA
"1394","ESSFdc1/112","Se – Horsetail – Globeflower",NA,NA
"1395","ESSFdc1/112a","Se – Horsetail – Globeflower; Riparian phase",NA,NA
"1396","ESSFdc1/112b","Se – Valerian – Horsetail; Swamp phase",NA,NA
"1397","ESSFdc1/Ff01","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"1398","ESSFdc1/Ff01a","Water birch – Red-osier dogwood – Rose; Fringe phase","Ff","fringe fluvial "
"1399","ESSFdc1/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1400","ESSFdc1/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1401","ESSFdc1/Ro06.1","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1402","ESSFdc1/Ro06.2","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1403","ESSFdc1/Ro10","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1404","ESSFdc1/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1405","ESSFdc1/Rt01","Rocktripe – Green map","Rt","talus"
"1406","ESSFdc1/Rt07","Aspen – Juniper – Rocktripe","Rt","talus"
"1407","ESSFdc1/Rt07.1","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1408","ESSFdc1/Rt07.2","Juniper – Rocktripe","Rt","talus"
"1409","ESSFdc1/Vh02","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1410","ESSFdc1/Vh02.1","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1411","ESSFdc1/Vh10","Fireweed – Grouseberry","Vh","avalanche herb"
"1412","ESSFdc1/Vh11","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1413","ESSFdc1/Vs02","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1414","ESSFdc1/Vs03","Sitka alder – Hellebore","Vs","avalanche shrub"
"1415","ESSFdc1/Vs10","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1416","ESSFdc1/Vs10.1","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1417","ESSFdc1/Vs10.2","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1418","ESSFdc1/Vs12","Huckleberry – Rhododendron – Fireweed","Vs","avalanche shrub"
"1419","ESSFdc1/Wb16","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1420","ESSFdc1/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1421","ESSFdc1/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1422","ESSFdc1/Wf09","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1423","ESSFdc1/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1424","ESSFdc1/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1425","ESSFdc1/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1426","ESSFdc1/Ws08","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1427","ESSFdc1/Ws08.1","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1428","ESSFdc1/Ws08.2","SxwBl – Horsetail – Canby's Lovage","Ws","wetland swamp"
"1429","ESSFdc1/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1430","ESSFdc2/101","BlSe – Rhododendron – Valerian",NA,NA
"1431","ESSFdc2/102","Pl – Juniper – Grouseberry – Clad lichens",NA,NA
"1432","ESSFdc2/103","Pl – Pinegrass – Grouseberry","IN","insolation"
"1433","ESSFdc2/104","BlPl – Grouseberry – Clad lichens",NA,NA
"1434","ESSFdc2/110","SeBl – Trapper's tea – Grouseberry","CA","cold aspects - cold air"
"1435","ESSFdc2/111","BlSe – Valerian – Globeflower",NA,NA
"1436","ESSFdc2/112","Se – Horsetail – Valerian",NA,NA
"1437","ESSFdc2/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1438","ESSFdc2/Ro06.1","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1439","ESSFdc2/Ro06.2","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1440","ESSFdc2/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1441","ESSFdc2/Rt01","Rocktripe – Green map","Rt","talus"
"1442","ESSFdc2/Rt20","Spotted saxifrage – Clad lichen","Rt","talus"
"1443","ESSFdc2/Wb16","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1444","ESSFdc2/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1445","ESSFdc2/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"1446","ESSFdc2/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1447","ESSFdc2/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1448","ESSFdc2/Wf06","Slender sedge – Buckbean","Wf","wetland fen"
"1449","ESSFdc2/Wf07","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"1450","ESSFdc2/Wf08","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"1451","ESSFdc2/Wf09","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1452","ESSFdc2/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"1453","ESSFdc2/Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1454","ESSFdc2/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1455","ESSFdc2/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1456","ESSFdc2/Wm09","Inflated sedge","Wm","wetland marsh"
"1457","ESSFdc2/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1458","ESSFdc2/Ws02","Mountain alder – Pink spirea – Sitka sedge","Ws","wetland swamp"
"1459","ESSFdc2/Ws04","Drummond's willow – Beaked sedge","Ws","wetland swamp"
"1460","ESSFdc2/Ws08","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1461","ESSFdc2/Ws08.1","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1462","ESSFdc2/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1463","ESSFdc3/01","Bl – Rhododendron – Grouseberry",NA,NA
"1464","ESSFdc3/02","Juniper – Pinegrass",NA,NA
"1465","ESSFdc3/03","PlSe – Falsebox – Pinegrass",NA,NA
"1466","ESSFdc3/04","Bl – Grouseberry – Cladonia",NA,NA
"1467","ESSFdc3/05","Bl – Huckleberry – Feather moss",NA,NA
"1468","ESSFdc3/06","Bl – Gooseberry – Oak fern",NA,NA
"1469","ESSFdc3/07","Bl – Rhododendron – Valerian",NA,NA
"1470","ESSFdc3/08","Bl – Trapper's tea",NA,NA
"1471","ESSFdc3/09","Sedge – Sphagnum",NA,NA
"1472","ESSFdc3/Fl07","Water birch – Rose","Fl","low fluvial bench"
"1473","ESSFdc3/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1474","ESSFdc3/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"1475","ESSFdc3/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1476","ESSFdc3/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"1477","ESSFdc3/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1478","ESSFdcp/Ag01","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1479","ESSFdcp/Ag03","Timber oatgrass – Kinnikinnick","Ag","alpine grassland"
"1480","ESSFdcp/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1481","ESSFdcp/Ro06.1","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1482","ESSFdcp/Ro06.2","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1483","ESSFdcw/101","Bl – Valerian – Woodrush",NA,NA
"1484","ESSFdcw/102","BlPa – Grouseberry",NA,NA
"1485","ESSFdcw/103","Bl – Rhododendron – Grouseberry",NA,NA
"1486","ESSFdcw/110","Bl – Valerian – Hellebore – Globeflower",NA,NA
"1487","ESSFdcw/Ag01","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1488","ESSFdcw/Ag03","Timber oatgrass – Kinnikinnick","Ag","alpine grassland"
"1489","ESSFdcw/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1490","ESSFdcw/Ro06.1","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1491","ESSFdcw/Ro06.2","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1492","ESSFdcw/Ro10","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1493","ESSFdcw/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1494","ESSFdcw/Rt01","Rocktripe – Green map","Rt","talus"
"1495","ESSFdcw/Vh02","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1496","ESSFdcw/Vh02.1","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1497","ESSFdcw/Vh10","Fireweed – Grouseberry","Vh","avalanche herb"
"1498","ESSFdcw/Vh11","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1499","ESSFdcw/Vs03","Sitka alder – Hellebore","Vs","avalanche shrub"
"1500","ESSFdcw/Vs10","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1501","ESSFdcw/Vs10.1","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1502","ESSFdcw/Vs10.2","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1503","ESSFdcw/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1504","ESSFdcw/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1505","ESSFdcw/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1506","ESSFdcw/Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1507","ESSFdcw/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1508","ESSFdcw/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1509","ESSFdcw/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1510","ESSFdcw/Ws08.2","SeBl – Horsetail – Canby's Lovage","Ws","wetland swamp"
"1511","ESSFdcw/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1512","ESSFdh1/101","BlBa – Huckleberry – Pipecleaner moss",NA,NA
"1513","ESSFdh1/102","FdBl – Falsebox – Rock mosses",NA,NA
"1514","ESSFdh1/103","BlPl – Falsebox – Grouseberry",NA,NA
"1515","ESSFdh1/104","FdBl – Falsebox – Pinegrass","IN","insolation"
"1516","ESSFdh1/110","SeBl(Ba) – Oak fern – Bramble",NA,NA
"1517","ESSFdh1/111","SeBl – Horsetail – Oak fern",NA,NA
"1518","ESSFdh1/Ro05","Juniper – Kinnikinnick – Penstemon","Ro","rocky outcrop"
"1519","ESSFdh1/Ro05.1","Juniper – Kinnikinnick – Penstemon","Ro","rocky outcrop"
"1520","ESSFdh1/Ro05.2","Juniper – Kinnikinnick – Penstemon – Screw moss","Ro","rocky outcrop"
"1521","ESSFdh1/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1522","ESSFdh1/Ro06.1","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1523","ESSFdh1/Ro06.2","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1524","ESSFdh1/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1525","ESSFdh1/Rt01","Rocktripe – Green map","Rt","talus"
"1526","ESSFdh1/Rt02","Rock moss – Clad lichen","Rt","talus"
"1527","ESSFdh1/Vh01","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1528","ESSFdh1/Vh01.1","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1529","ESSFdh1/Vh02","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1530","ESSFdh1/Vh03","Lady fern – Hellebore – Valerian","Vh","avalanche herb"
"1531","ESSFdh1/Vh04","Valerian – Meadowrue – Waterleaf","Vh","avalanche herb"
"1532","ESSFdh1/Vs01","Sitka alder – Lady fern","Vs","avalanche shrub"
"1533","ESSFdh1/Vs01.1","Sitka alder – Lady fern","Vs","avalanche shrub"
"1534","ESSFdh1/Vs01.2","Sitka alder – Spiny wood fern","Vs","avalanche shrub"
"1535","ESSFdh1/Vs02","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1536","ESSFdh1/Vs04","Sitka alder – Devil's club – Oak fern","Vs","avalanche shrub"
"1537","ESSFdh1/Vs05","Sitka alder – Waterleaf","Vs","avalanche shrub"
"1538","ESSFdh1/Vs10","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1539","ESSFdh1/Vs10.1","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1540","ESSFdh1/Vs10.2","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1541","ESSFdh1/Vs11","Thimbleberry – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1542","ESSFdh1/Vs14","Saskatoon – Snowberry – Strawberry","Vs","avalanche shrub"
"1543","ESSFdh1/Vs50","Sitka alder – Salmonberry","Vs","avalanche shrub"
"1544","ESSFdh1/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1545","ESSFdh1/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1546","ESSFdh1/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1547","ESSFdh1/Wf05","Slender sedge – Common hook moss","Wf","wetland fen"
"1548","ESSFdh1/Wf06","Slender sedge – Buckbean","Wf","wetland fen"
"1549","ESSFdh1/Wf07","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"1550","ESSFdh1/Wf08","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"1551","ESSFdh1/Wf09","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1552","ESSFdh1/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"1553","ESSFdh1/Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1554","ESSFdh1/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1555","ESSFdh1/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1556","ESSFdh1/Wm09","Inflated sedge","Wm","wetland marsh"
"1557","ESSFdh1/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1558","ESSFdh1/Ws02","Mountain alder – Pink spirea – Sitka sedge","Ws","wetland swamp"
"1559","ESSFdh1/Ws07","Sxw – Horsetail – Leafy moss","Ws","wetland swamp"
"1560","ESSFdh1/Ws07.1","Sxw – Horsetail – Leafy moss; Typic variation","Ws","wetland swamp"
"1561","ESSFdh1/Ws07.2","Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation","Ws","wetland swamp"
"1562","ESSFdh1/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1563","ESSFdk1/101","BlSe – Azalea",NA,NA
"1564","ESSFdk1/102","PlFd – Juniper – Douglas' maple",NA,NA
"1565","ESSFdk1/103","BlPl – Grouseberry","IN","insolation"
"1566","ESSFdk1/104","BlPl – Azalea – Grouseberry",NA,NA
"1567","ESSFdk1/110","BlSe – Azalea – Foamflower",NA,NA
"1568","ESSFdk1/111","Se – Horsetail – Bluejoint",NA,NA
"1569","ESSFdk1/111a","Se – Horsetail – Bluejoint; Riparian phase",NA,NA
"1570","ESSFdk1/111b","Se – Horsetail – Bluejoint; Swamp phase",NA,NA
"1571","ESSFdk1/Ag01","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1572","ESSFdk1/Fl01","Mountain alder – Common horsetail","Fl","low fluvial bench"
"1573","ESSFdk1/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1574","ESSFdk1/Gb20","Saskatoon – Soopolallie – Juniper","Gb","brushland"
"1575","ESSFdk1/Gg14","Idaho fescue – Sulphur buckwheat – Sandwort","Gg","grassland "
"1576","ESSFdk1/Gg16","Rough fescue – Sulphur buckwheat – Sandwort","Gg","grassland "
"1577","ESSFdk1/Gg17","Idaho fescue – Bluebunch wheatgrass – Sulphur buckwheat","Gg","grassland "
"1578","ESSFdk1/Gg33","Pinegrass – Yellow penstemon","Gg","grassland "
"1579","ESSFdk1/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1580","ESSFdk1/Ro07","Juniper – Soopolallie – Shrubby cinquefoil","Ro","rocky outcrop"
"1581","ESSFdk1/Ro10","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1582","ESSFdk1/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1583","ESSFdk1/Rt01","Rocktripe – Green map","Rt","talus"
"1584","ESSFdk1/Rt07","Aspen – Juniper – Rocktripe","Rt","talus"
"1585","ESSFdk1/Rt07.1","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1586","ESSFdk1/Rt07.2","Juniper – Rocktripe","Rt","talus"
"1587","ESSFdk1/Rt20","Spotted saxifrage – Clad lichen","Rt","talus"
"1588","ESSFdk1/Rt21","La – Pink mountain-heath – Heron's-bill","Rt","talus"
"1589","ESSFdk1/Vh01","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1590","ESSFdk1/Vh01.1","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1591","ESSFdk1/Vh01.2","Cow parsnip – Fireweed – Bluejoint","Vh","avalanche herb"
"1592","ESSFdk1/Vh02","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1593","ESSFdk1/Vh02.1","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1594","ESSFdk1/Vh02.2","Valerian – Showy sedge – Fireweed","Vh","avalanche herb"
"1595","ESSFdk1/Vh10","Fireweed – Grouseberry","Vh","avalanche herb"
"1596","ESSFdk1/Vh11","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1597","ESSFdk1/Vh12","Idaho fescue – Sulphur buckwheat – Fireweed","Vh","avalanche herb"
"1598","ESSFdk1/Vs02","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1599","ESSFdk1/Vs03","Sitka alder – Hellebore","Vs","avalanche shrub"
"1600","ESSFdk1/Vs10","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1601","ESSFdk1/Vs10.1","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1602","ESSFdk1/Vs10.2","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1603","ESSFdk1/Vs11","Thimbleberry – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1604","ESSFdk1/Vs12","Huckleberry – Rhododendron – Fireweed","Vs","avalanche shrub"
"1605","ESSFdk1/Vs13","Huckleberry – Bear-grass – Fireweed","Vs","avalanche shrub"
"1606","ESSFdk1/Wb15","Sxw – Labrador tea – Peat moss","Wb","wetland bog "
"1607","ESSFdk1/Wb16","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1608","ESSFdk1/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1609","ESSFdk1/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"1610","ESSFdk1/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1611","ESSFdk1/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1612","ESSFdk1/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"1613","ESSFdk1/Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1614","ESSFdk1/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1615","ESSFdk1/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1616","ESSFdk1/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1617","ESSFdk1/Ws03","Bebb's willow – Bluejoint","Ws","wetland swamp"
"1618","ESSFdk1/Ws08","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1619","ESSFdk1/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1620","ESSFdk2/101","BlSe – Azalea – Feather moss",NA,NA
"1621","ESSFdk2/102","PlFd – Juniper – Douglas' maple",NA,NA
"1622","ESSFdk2/103","PlBl – Juniper – Showy aster","IN","insolation"
"1623","ESSFdk2/104","BlPl – Azalea – Grouseberry",NA,NA
"1624","ESSFdk2/110","BlSe – Azalea – Oak fern",NA,NA
"1625","ESSFdk2/111","BlSe – Azalea – Foamflower",NA,NA
"1626","ESSFdk2/112","SeBl – Horsetail – Feather moss",NA,NA
"1627","ESSFdk2/112a","SeBl – Horsetail – Feather moss; Riparian phase",NA,NA
"1628","ESSFdk2/112b","SeBl – Horsetail – Feather moss; Swamp phase",NA,NA
"1629","ESSFdk2/Fl01","Mountain alder – Common horsetail","Fl","low fluvial bench"
"1630","ESSFdk2/Fl05","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1631","ESSFdk2/Gb20","Saskatoon – Soopolallie – Juniper","Gb","brushland"
"1632","ESSFdk2/Ro06","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1633","ESSFdk2/Ro07","Juniper – Soopolallie – Shrubby cinquefoil","Ro","rocky outcrop"
"1634","ESSFdk2/Ro10","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1635","ESSFdk2/Ro11","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1636","ESSFdk2/Rt01","Rocktripe – Green map","Rt","talus"
"1637","ESSFdk2/Rt07","Aspen – Juniper – Rocktripe","Rt","talus"
"1638","ESSFdk2/Rt07.1","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1639","ESSFdk2/Rt07.2","Juniper – Rocktripe","Rt","talus"
"1640","ESSFdk2/Rt20","Spotted saxifrage – Clad lichen","Rt","talus"
"1641","ESSFdk2/Rt21","La – Pink mountain-heath – Heron's-bill","Rt","talus"
"1642","ESSFdk2/Vh01","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1643","ESSFdk2/Vh01.1","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1644","ESSFdk2/Vh01.2","Cow parsnip – Fireweed – Bluejoint","Vh","avalanche herb"
"1645","ESSFdk2/Vh02","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1646","ESSFdk2/Vh02.1","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1647","ESSFdk2/Vh02.2","Valerian – Showy sedge – Fireweed","Vh","avalanche herb"
"1648","ESSFdk2/Vh10","Fireweed – Grouseberry","Vh","avalanche herb"
"1649","ESSFdk2/Vh11","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1650","ESSFdk2/Vs01","Sitka alder – Lady fern","Vs","avalanche shrub"
"1651","ESSFdk2/Vs01.1","Sitka alder – Lady fern","Vs","avalanche shrub"
"1652","ESSFdk2/Vs01.2","Sitka alder – Spiny wood fern","Vs","avalanche shrub"
"1653","ESSFdk2/Vs02","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1654","ESSFdk2/Vs03","Sitka alder – Hellebore","Vs","avalanche shrub"
"1655","ESSFdk2/Vs10","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1656","ESSFdk2/Vs10.1","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1657","ESSFdk2/Vs10.2","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1658","ESSFdk2/Vs11","Thimbleberry – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1659","ESSFdk2/Vs12","Huckleberry – Rhododendron – Fireweed","Vs","avalanche shrub"
"1660","ESSFdk2/Wb15","Sxw – Labrador tea – Peat moss","Wb","wetland bog "
"1661","ESSFdk2/Wf01","Water sedge – Beaked sedge","Wf","wetland fen"
"1662","ESSFdk2/Wf02","Scrub birch – Water sedge","Wf","wetland fen"
"1663","ESSFdk2/Wf03","Water sedge – Peat moss","Wf","wetland fen"
"1664","ESSFdk2/Wf04","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1665","ESSFdk2/Wf11","Tufted clubrush – Star moss","Wf","wetland fen"
"1666","ESSFdk2/Wf12","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1667","ESSFdk2/Wf13","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1668","ESSFdk2/Wm01","Beaked sedge – Water sedge","Wm","wetland marsh"
"1669","ESSFdk2/Wm16","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1670","ESSFdk2/Ws03","Bebb's willow – Bluejoint","Ws","wetland swamp"
"1671","ESSFdk2/Ws08","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1672","ESSFdk2/Ws13","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1673","ESSFdkp/Ag01","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
